feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	收入	feature49	feature50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	100	1	1	0	7	1	0	7	1	0	9	0	4	271	1	3	11	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	100	1	1	0	5	1	0	7	4	0	16	2	1	144	1	6	17	0	0	0	0	0	0	0	0
1	0	1	0	0	0	17	17	13	1	1	0	0	0	0	0	0	0	0	0	0	26	4	373	19	35	500	5	5	5	7	1	93	7	2	0	11	9	0	0	1	7	12	0	0	1	8400	0	0	0	0
2	0	2	0	1	0	11	11	23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	200	2	2	0	5	1	0	7	7	0	3	0	0	0	1	13	28	299	150	0	5550	75	149.64	0	0
2	0	2	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	600	6	6	0	4	1	0	7	1	0	1	0	3	694	1	5	27	96	60	0	6000	30	47.78	0	0
3	1	2	0	0	0	5	4	3	1	1	0	0	0	0	0	0	0	0	0	0	20	3	295	15	38	600	6	6	5	6	1	98	7	0	0	0	0	3	200	1	15	15	182	75	0	7000	25	60.56	1	144
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	500	5	5	0	6	1	0	7	3	0	0	0	1	102	1	11	27	0	0	0	0	0	0	6	494
2	0	2	0	0	0	18	18	10	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	9600	0	0	0	0
5	0	5	0	0	0	4	4	11	1	1	0	0	0	0	0	28	13	0	0	0	111	5	423	96	111	500	5	5	19	22	1	85	7	30	0	17	0	1	101	1	17	16	0	0	0	8220	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	100	1	1	0	12	1	0	7	10	0	11	4	0	0	1	13	11	0	0	1	0	0	0	0	0
5	1	4	0	2	0	5	4	5	1	1	0	0	0	0	0	0	0	0	0	0	32	6	495	20	42	800	8	8	3	5	1	83	7	0	0	4	0	3	83	1	26	60	348	195	0	6300	39	69.61	1	480
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	200	2	2	0	5	1	0	7	0	0	0	0	1	423	1	97	70	0	0	0	0	0	0	0	0
1	0	1	0	4	0	8	8	7	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14	200	2	2	0	7	1	0	7	10	0	3	1	4	259	1	6	22	0	0	0	6600	0	0	0	0
2	0	2	0	1	0	7	7	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	200	2	2	0	6	1	0	7	12	0	22	2	1	117	1	1	17	124	60	2	7500	30	61.76	3	1196
3	0	3	0	0	0	2	2	2	1	1	0	0	0	0	0	0	24	2	0	0	27	3	247	23	27	300	3	3	8	9	1	82	7	14	0	9	0	0	0	1	11	11	376	195	0	3400	65	125.17	0	0
1	1	0	0	0	0	13	13	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	22	15	0	7800	15	21.88	0	0
1	0	1	0	0	0	3	2	1	1	1	0	0	0	0	0	0	19	1	0	0	21	1	94	19	21	100	1	1	19	21	1	94	7	3	0	10	1	4	513	1	6	16	30	0	0	6300	0	30.43	0	0
1	0	1	0	3	0	5	5	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	100	1	1	0	7	1	0	7	1	0	1	0	4	196	1	19	45	0	0	0	8400	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	100	23	23	100	1	1	23	23	1	100	7	29	0	10	1	2	105	1	9	11	0	0	0	0	0	0	3	414
1	0	1	0	4	0	8	7	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	7	4	0	0	0	0	0	56	45	0	11700	45	55.61	0	0
3	0	0	0	1	0	5	2	1	1	1	0	0	0	0	0	0	0	0	0	0	21	2	291	16	24	400	3	3	8	8	1	109	7	3	1	0	0	2	507	1	28	41	69	60	0	5700	20	22.91	12	139
2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	45	2	194	39	45	200	2	2	20	23	1	97	7	5	0	18	2	0	0	1	1	3	917	165	2	8250	82.5	458.49	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	100	5	5	100	1	1	5	5	1	100	7	2	0	7	0	2	127	1	14	29	0	0	0	0	0	0	18	341
4	0	3	0	1	0	5	5	4	1	1	0	0	0	0	0	0	0	0	0	0	31	4	389	26	31	400	4	4	7	8	1	97	7	11	0	6	0	0	0	1	0	15	441	225	0	7950	56.25	110.34	2	586
2	0	2	0	0	0	14	14	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	14	1	0	0	0	0	0	32	30	0	9750	15	15.76	0	0
